year,period,annual return,volatility,sharpe,max drawdown
Ridge model,1990-1999,0.128,0.152,0.841,-0.078
RF model,1990-1999,0.138,0.142,0.975,-0.023
Extra tree model,1990-1999,0.16,0.153,1.045,-0.073
XGB model,1990-1999,0.15,0.113,1.325,0.025
LGBM model,1990-1999,0.129,0.128,1.011,0.007
Ridge model,2000-2009,0.041,0.198,0.209,-0.126
RF model,2000-2009,0.018,0.244,0.075,-0.257
Extra tree model,2000-2009,0.038,0.221,0.173,-0.133
XGB model,2000-2009,0.046,0.225,0.205,-0.168
LGBM model,2000-2009,0.055,0.207,0.266,-0.126
Ridge model,2010-2019,0.081,0.131,0.616,-0.087
RF model,2010-2019,0.052,0.159,0.326,-0.156
Extra tree model,2010-2019,0.095,0.172,0.552,-0.127
XGB model,2010-2019,0.081,0.156,0.524,-0.072
LGBM model,2010-2019,0.038,0.128,0.297,-0.142
